Venue,Code,Level,Capacity
1-350,1-350,1,8
1-351,1-351,1,5
1-352,1-352,1,8
LG1-327,lg1-327,LG1,5
LG1-353,lg1-353,LG1,4
LG1-354,lg1-354,LG1,5
LG1-355,lg1-355,LG1,5
LG1-361,lg1-361,LG1,8
LG1-362,lg1-362,LG1,6
LG1-363,lg1-363,LG1,6
LG3 Seminar,lg3sem,LG3,16
LG3-04,lg3-04,LG3,5
LG3-08,lg3-08,LG3,6
LG3-15,lg3-15,LG3,5
LG3-16,lg3-16,LG3,5
LG3-17,lg3-17,LG3,10
LG3-27,lg3-27,LG3,5
LG4-02,lg4-02,LG4,4
LG4-04,lg4-04,LG4,5
LG4-05,lg4-05,LG4,5
LG4-07,lg4-07,LG4,8
LG4-08,lg4-08,LG4,5
LG4-09,lg4-09,LG4,6
LG4-14,lg4-14,LG4,4
LG4-15,lg4-15,LG4,5
LG4-16,lg4-16,LG4,5
LG4-17,lg4-17,LG4,5
LG4-27,lg4-27,LG4,5
LG5-01,lg5-01,LG5,4
LG5-02,lg5-02,LG5,4
LG5-03,lg5-03,LG5,4
LC-01,lc01,LG1,7
LC-02,lc02,LG1,7
LC-03,lc03,LG1,7
LC-04,lc04,LG1,7
LC-05,lc05,LG1,7
LC-06,lc06,LG1,7
LC-07,lc07,LG1,7
LC-08,lc08,LG1,7
LC-09,lc09,LG1,7
LC-10,lc10,LG1,7
LC-11,lc11,LG1,7
LC-12,lc12,LG1,7
LC-13,lc13,LG1,7
LC-14,lc14,LG1,10
LC-15,lc15,LG1,10
LC-16,lc16,LG1,10
LC-17,lc17,LG1,10
LC-18,lc18,LG1,7
